,Stocks,Sector,Link
0,ACC,Capital Goods,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
1,Adani Enterprises,Energy,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
2,Adani Ports & Special Economic Zone,Transportation,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
3,Adani Power,Utilities,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
4,Ambuja Cements,Capital Goods,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
5,Apollo Hospitals Enterprise,Healthcare,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
6,Ashok Leyland,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
7,Asian Paints,Basic Materials,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
8,Au Small Finance Bank,Financial,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
9,Aurobindo Pharma,Healthcare,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
10,Avenue Supermarts,Services,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
11,Axis Bank,Financial,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
12,Bajaj Auto,Consumer Cyclical,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
13,Bajaj Finance,Financial,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
14,Bajaj Finserv,Financial,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
15,Bajaj Holdings & Investment,Financial,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
16,Bandhan Bank,Financial,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
17,Bank Of Baroda,Financial,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
18,Bharat Electronics,Capital Goods,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
19,Bharat Forge,Basic Materials,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
20,Bharat Petroleum Corporation,Energy,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
21,Bharti Airtel,Services,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
22,Britannia Industries,Consumer/Non-Cyclical,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
23,Cholamandalam Investment & Finance Company,Financial,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
24,Cipla,Healthcare,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
25,Coal India,Energy,https://www.livemint.com/market/s-p-bse-100-stocks-I0004
