Indexes,COMPANY,INDUSTRY,Ticker
Nifty 50,ADANI ENTERPRISES,MISCELLANEOUS,
Nifty 50,ADANI PORTS & SEZ,MISCELLANEOUS,
Nifty 50,APOLLO HOSPITALS,MISCELLANEOUS,
Nifty 50,ASIAN PAINTS,PAINTS,
Nifty 50,AXIS BANK,BANKING,
Nifty 50,BAJAJ AUTO,AUTOMOBILES,
Nifty 50,BAJAJ FINANCE,FINANCE,
Nifty 50,BAJAJ FINSERV,FINANCE,
Nifty 50,BHARAT ELECTRONICS,DEFENCE,
Nifty 50,BHARTI AIRTEL,TELECOM,
Nifty 50,BPCL,ENERGY,
Nifty 50,CIPLA,PHARMACEUTICALS,
Nifty 50,COAL INDIA,MINING,
Nifty 50,DR. REDDYS LAB,PHARMACEUTICALS,
Nifty 50,EICHER MOTORS,AUTOMOBILES,
Nifty 50,GRASIM,TEXTILES,
Nifty 50,HCL TECHNOLOGIES,SOFTWARE,
Nifty 50,HDFC BANK,BANKING,
Nifty 50,HDFC LIFE INSURANCE,INSURANCE,
Nifty 50,HERO MOTOCORP,AUTOMOBILES,
Nifty 50,HINDALCO,ALUMINIUM,
Nifty 50,HINDUSTAN UNILEVER,FMCG,
Nifty 50,ICICI BANK,BANKING,
Nifty 50,INDUSIND BANK,BANKING,
Nifty 50,INFOSYS,SOFTWARE,
Nifty 50,IOC,ENERGY,
Nifty 50,ITC,FOOD & TOBACCO,
Nifty 50,JSW STEEL,STEEL,
Nifty 50,KOTAK MAHINDRA BANK,BANKING,
Nifty 50,L&T,ENGINEERING,
Nifty 50,M&M,AUTOMOBILES,
Nifty 50,MARUTI SUZUKI,AUTOMOBILES,
Nifty 50,NESTLE,FOOD & TOBACCO,
Nifty 50,NTPC,POWER,
Nifty 50,ONGC,ENERGY,
Nifty 50,POWER GRID,POWER,
Nifty 50,RELIANCE IND.,ENERGY,
Nifty 50,SBI,BANKING,
Nifty 50,SBI LIFE INSURANCE,INSURANCE,
Nifty 50,SHRIRAM FINANCE,FINANCE,
Nifty 50,SUN PHARMA,PHARMACEUTICALS,
Nifty 50,TATA CONSUMER,FMCG,
Nifty 50,TATA MOTORS,AUTOMOBILES,
Nifty 50,TATA STEEL,STEEL,
Nifty 50,TCS,SOFTWARE,
Nifty 50,TECH MAHINDRA,SOFTWARE,
Nifty 50,TITAN,RETAILING,
Nifty 50,TRENT,RETAILING,
Nifty 50,ULTRATECH CEMENT,CEMENT,
Nifty 50,WIPRO,SOFTWARE,
NIFTY BANK,AU SMALL FINANCE BANK,BANKING,
NIFTY BANK,BANDHAN BANK,BANKING,
NIFTY BANK,FEDERAL BANK,BANKING,
NIFTY BANK,IDFC FIRST BANK,BANKING,
NIFTY BANK,PNB,BANKING,
NIFTY BANK,RBL BANK,BANKING,
NIFTY NEXT 50,JINDALSTEL,,
NIFTY NEXT 50,TORNTPHARM,,
NIFTY NEXT 50,DIVISLAB,,
NIFTY NEXT 50,GAIL,,
NIFTY NEXT 50,DMART,,
NIFTY NEXT 50,SHREECEM,,
NIFTY NEXT 50,ADANIPOWER,,
NIFTY NEXT 50,NAUKRI,,
NIFTY NEXT 50,ICICIGI,,
NIFTY NEXT 50,VEDL,,
NIFTY NEXT 50,HAVELLS,,
NIFTY NEXT 50,BAJAJHLDNG,,
NIFTY NEXT 50,PIDILITIND,,
NIFTY NEXT 50,ZYDUSLIFE,,
NIFTY NEXT 50,ICICIPRULI,,
NIFTY NEXT 50,JIOFIN,,
NIFTY NEXT 50,LTIM,,
NIFTY NEXT 50,ADANIENSOL,,
NIFTY NEXT 50,ATGL,,
NIFTY NEXT 50,BANKBARODA,,
NIFTY NEXT 50,BOSCHLTD,,
NIFTY NEXT 50,ZOMATO,,
NIFTY NEXT 50,TATAPOWER,,
NIFTY NEXT 50,JSWENERGY,,
NIFTY NEXT 50,NHPC,,
NIFTY NEXT 50,SIEMENS,Electronic Instr. & Controls,
NIFTY NEXT 50,ABB,,
NIFTY NEXT 50,IRFC,,
NIFTY NEXT 50,UNIONBANK,,
NIFTY NEXT 50,CANBK,,
NIFTY NEXT 50,AMBUJACEM,,
NIFTY NEXT 50,GODREJCP,,
NIFTY NEXT 50,MOTHERSON,,
NIFTY NEXT 50,LICI,,
NIFTY NEXT 50,UNITDSPR,,
NIFTY NEXT 50,RECLTD,,
NIFTY NEXT 50,VBL,,
NIFTY NEXT 50,HAL,,
NIFTY NEXT 50,LODHA,,
NIFTY NEXT 50,INDIGO,,
NIFTY NEXT 50,TVSMOTOR,,
NIFTY NEXT 50,CHOLAFIN,,
NIFTY NEXT 50,ADANIGREEN,,
NIFTY NEXT 50,BHEL,,
NIFTY NEXT 50,IOC,ENERGY,
NIFTY NEXT 50,IRCTC,,
NIFTY NEXT 50,PFC,,
NIFTY NEXT 50,DLF,,
NIFTY NEXT 50,DABUR,,
NIFTY MIDCAP 100,PETRONET,,
NIFTY MIDCAP 100,BSE,,
NIFTY MIDCAP 100,AUROPHARMA,,
NIFTY MIDCAP 100,MARICO,,
NIFTY MIDCAP 100,MUTHOOTFIN,,
NIFTY MIDCAP 100,COLPAL,,
NIFTY MIDCAP 100,ALKEM,,
NIFTY MIDCAP 100,HINDZINC,,
NIFTY MIDCAP 100,AUBANK,,
NIFTY MIDCAP 100,TATACHEM,,
NIFTY MIDCAP 100,KPITTECH,,
NIFTY MIDCAP 100,POLYCAB,,
NIFTY MIDCAP 100,TORNTPOWER,,
NIFTY MIDCAP 100,BDL,,
NIFTY MIDCAP 100,VOLTAS,,
NIFTY MIDCAP 100,LUPIN,,
NIFTY MIDCAP 100,BHARTIHEXA,,
NIFTY MIDCAP 100,PAYTM,,
NIFTY MIDCAP 100,INDHOTEL,,
NIFTY MIDCAP 100,IGL,,
NIFTY MIDCAP 100,TATACOMM,,
NIFTY MIDCAP 100,PIIND,,
NIFTY MIDCAP 100,NYKAA,,
NIFTY MIDCAP 100,APLAPOLLO,,
NIFTY MIDCAP 100,COFORGE,,
NIFTY MIDCAP 100,BANKINDIA,,
NIFTY MIDCAP 100,POONAWALLA,,
NIFTY MIDCAP 100,ESCORTS,,
NIFTY MIDCAP 100,MFSL,,
NIFTY MIDCAP 100,POLICYBZR,,
NIFTY MIDCAP 100,CGPOWER,,
NIFTY MIDCAP 100,IDFCFIRSTB,,
NIFTY MIDCAP 100,MRPL,,
NIFTY MIDCAP 100,INDUSTOWER,,
NIFTY MIDCAP 100,MANKIND,,
NIFTY MIDCAP 100,FEDERALBNK,,
NIFTY MIDCAP 100,ACC,,
NIFTY MIDCAP 100,IRB,,
NIFTY MIDCAP 100,KALYANKJIL,,
NIFTY MIDCAP 100,COCHINSHIP,,
NIFTY MIDCAP 100,SOLARINDS,,
NIFTY MIDCAP 100,NLCINDIA,,
NIFTY MIDCAP 100,TATAELXSI,,
NIFTY MIDCAP 100,OFSS,,
NIFTY MIDCAP 100,FACT,,
NIFTY MIDCAP 100,SUNDARMFIN,,
NIFTY MIDCAP 100,DELHIVERY,,
NIFTY MIDCAP 100,NMDC,,
NIFTY MIDCAP 100,MAHABANK,,
NIFTY MIDCAP 100,YESBANK,,
NIFTY MIDCAP 100,PAGEIND,,
NIFTY MIDCAP 100,PATANJALI,,
NIFTY MIDCAP 100,INDIANB,,
NIFTY MIDCAP 100,IOB,,
NIFTY MIDCAP 100,SRF,,
NIFTY MIDCAP 100,ABFRL,,
NIFTY MIDCAP 100,M&MFIN,,
NIFTY MIDCAP 100,SBICARD,,
NIFTY MIDCAP 100,UPL,,
NIFTY MIDCAP 100,ASTRAL,,
NIFTY MIDCAP 100,OBEROIRLTY,,
NIFTY MIDCAP 100,SJVN,Electric Utilities,
NIFTY MIDCAP 100,BHARATFORG,,
NIFTY MIDCAP 100,TATATECH,,
NIFTY MIDCAP 100,MAZDOCK,,
NIFTY MIDCAP 100,SAIL,,
NIFTY MIDCAP 100,MRF,,
NIFTY MIDCAP 100,IREDA,,
NIFTY MIDCAP 100,RVNL,,
NIFTY MIDCAP 100,IDEA,,
NIFTY MIDCAP 100,SUPREMEIND,,
NIFTY MIDCAP 100,BALKRISIND,,
NIFTY MIDCAP 100,ASHOKLEY,,
NIFTY MIDCAP 100,HDFCAMC,,
NIFTY MIDCAP 100,BANDHANBNK,,
NIFTY MIDCAP 100,MPHASIS,,
NIFTY MIDCAP 100,EXIDEIND,,
NIFTY MIDCAP 100,MAXHEALTH,,
NIFTY MIDCAP 100,HUDCO,,
NIFTY MIDCAP 100,CONCOR,,
NIFTY MIDCAP 100,JUBLFOOD,,
NIFTY MIDCAP 100,LICHSGFIN,,
NIFTY MIDCAP 100,SONACOMS,,
NIFTY MIDCAP 100,IDBI,,
NIFTY MIDCAP 100,JSWINFRA,,
