Input,NSE TICKER,TICKER,Matched Company
360ONE,360ONE.NS,360ONE,360 One Wam Limited
AADHARHFC,AADHARHFC.NS,AADHARHFC,AADHAR HOUSING FINANCE L
NSLNISP,NSLNISP.NS,NSLNISP,NMDC Steel Limited 
POLICYBZR,POLICYBZR.NS,POLICYBZR,PB Fintech Limited
Mindspace Business Parks REIT,MINDSPACE.BO,MINDSPACE,Mindspace Business Parks REIT 
JUBLFOOD,JUBLFOOD.NS,JUBLFOOD,Jubilant FoodWorks Limited 
ABFRL,ABFRL.NS,ABFRL,Aditya Birla Fashion and Retail Limited
MAZDOCK,MAZDOCK.NS,MAZDOCK,Mazagon Dock Shipbuilders Limited
PVRINOX,PVRINOX.NS,PVRINOX,PVR INOX Limited
Bayer Cropscience,BAYERCROP.NS,BAYERCROP,Bayer CropScience Limited
SBI,SBIN.NS,SBIN,State Bank of India
VBL,VBL.NS,VBL,Varun Beverages Limited
COLPAL,COLPAL.NS,COLPAL,Colgate-Palmolive (India) Limited
BDL,BDL.NS,BDL,Bharat Dynamics Limited
IGL,IGL.NS,IGL,Indraprastha Gas Limited
IRB,IRB.NS,IRB,IRB Infrastructure Developers Limited
DELHIVERY,DELHIVERY.NS,DELHIVERY,Delhivery Limited
IOB,IOB.NS,IOB,Indian Overseas Bank
LICHSGFIN,LICHSGFIN.NS,LICHSGFIN,LIC Housing Finance Limited
GESHIP,GESHIP.NS,GESHIP,The Great Eastern Shipping Company Limited
MGL,MGL.NS,MGL,Mahanagar Gas Limited
IEX,IEX.NS,IEX, Indian Energy Exchange Limited
MCX,MCX.NS,MCX, Multi Commodity Exchange of India Limited
FSL,FSL.NS,FSL, Firstsource Solutions Limited
JWL,JWL.NS,JWL, Jupiter Wagons Limited
KAYNES,KAYNES.NS,KAYNES, Kaynes Technology India Limited
Metro Brands,METROBRAND.NS,METROBRAND,Metro Brands Limited
ZYDUSLIFE,ZYDUSLIFE.NS,ZYDUSLIFE, Zydus Lifesciences Limited
NAUKRI,NAUKRI.NS,NAUKRI, Info Edge (India) Limited
ADANIENSOL,ADANIENSOL.NS,ADANIENSOL, Adani Energy Solutions Limited
POONAWALLA,POONAWALLA.NS,POONAWALLA, Poonawalla Fincorp Limited
DATAPATTNS,DATAPATTNS.NS,DATAPATTNS, Data Patterns (India) Limited
HAPPSTMNDS,HAPPSTMNDS.NS,HAPPSTMNDS, Happiest Minds Technologies Limited
GMDCLTD,GMDCLTD.NS,GMDCLTD, Gujarat Mineral Development Corporation Limited
HINDCOPPER,HINDCOPPER.NS,HINDCOPPER, Hindustan Copper Limited
CANBK,CANBK.NS,CANBK, Canara Bank
IRCTC,IRCTC.NS,IRCTC, Indian Railway Catering & Tourism Corporation Limited
INDUSTOWER,INDUSTOWER.NS,INDUSTOWER, Indus Towers Limited
HDFCAMC,HDFCAMC.NS,HDFCAMC, HDFC Asset Management Company Limited
RKFORGE,RKFORGE.NS,RKFORGE, Ramkrishna Forgings Limited
OBEROIRLTY,OBEROIRLTY.NS,OBEROIRLTY, Oberoi Realty Limited
ABM International Limited,ABMINTLLTD.NS,ABMINTLLTD,ABM International Limited
INDIGO,INDIGO.NS,INDIGO,InterGlobe Aviation Limited
BPCL,BPCL.NS,BPCL,Bharat Petroleum Corporation Limited
ONGC,ONGC.NS,ONGC,Oil and Natural Gas Corporation Limited
TCS,TCS.NS,TCS,Tata Consultancy Services Limited
ATGL,ATGL.NS,ATGL,Adani Total Gas Limited
UNITDSPR,UNITDSPR.NS,UNITDSPR,UNITED SPIRITS LIMITED
CHOLAFIN,CHOLAFIN.NS,CHOLAFIN,Cholamandalam Investment and Finance Company Limited
PFC,PFC.NS,PFC,Power Finance Corporation Limited
HINDZINC,HINDZINC.NS,HINDZINC,Hindustan Zinc Limited
MFSL,MFSL.NS,MFSL,Max Financial Services Limited
MRPL,MRPL.NS,MRPL,Mangalore Refinery and Petrochemicals Limited
KALYANKJIL,KALYANKJIL.NS,KALYANKJIL,Kalyan Jewellers India Limited
OFSS,OFSS.NS,OFSS,Oracle Financial Services Software Limited
MAHABANK,MAHABANK.NS,MAHABANK,Bank of Maharashtra
TATATECH,TATATECH.NS,TATATECH,Tata Technologies Limited
RVNL,RVNL.NS,RVNL,Rail Vikas Nigam Limited
SONACOMS,SONACOMS.NS,SONACOMS,Sona BLW Precision Forgings Limited
JSWINFRA,JSWINFRA.NS,JSWINFRA,JSW Infrastructure Limited
LTF,LTF.NS,LTF,L&T Finance Limited
PHOENIXLTD,PHOENIXLTD.NS,PHOENIXLTD,The Phoenix Mills Limited
ANGELONE,ANGELONE.NS,ANGELONE,Angel One Limited
CDSL,CDSL.NS,CDSL,Central Depository Services (India) Limited
FIVESTAR,FIVESTAR.NS,FIVESTAR,Five-Star Business Finance Limited
JBMA,JBMA.NS,JBMA,JBM Auto Limited
GSPL,GSPL.NS,GSPL,Gujarat State Petronet Limited
GRSE,GRSE.NS,GRSE,Garden Reach Shipbuilders & Engineers Limited
BLS,BLS.NS,BLS,BLS International Services Limited
TTML,TTML.NS,TTML,Tata Teleservices (Maharashtra) Limited
PEL,PEL.NS,PEL,Piramal Enterprises Limited
PATANJALI,PATANJALI.NS,PATANJALI,Patanjali Foods Limited
HINDPETRO,HINDPETRO.NS,HINDPETRO,Hindustan Petroleum Corporation Limited
FINCABLES,FINCABLES.NS,FINCABLES,Finolex Cables Limited
PPLPHARMA,PPLPHARMA.NS,PPLPHARMA,Piramal Pharma Limited
SIGNATURE,SIGNATURE.NS,SIGNATURE,Signatureglobal (India) Limited
RECLTD,RECLTD.NS,RECLTD,REC Limited
CONCOR,CONCOR.NS,CONCOR,Container Corporation of India Limited
TORNTPHARM,TORNTPHARM.NS,TORNTPHARM,Torrent Pharmaceuticals Limited
DMART,DMART.NS,DMART,Avenue Supermarts Limited
BAJAJHLDNG,BAJAJHLDNG.NS,BAJAJHLDNG,Bajaj Holdings & Investment Limited
PIDILITIND,PIDILITIND.NS,PIDILITIND,Pidilite Industries Limited
ICICIPRULI,ICICIPRULI.NS,ICICIPRULI,ICICI Prudential Life Insurance Company Limited
LODHA,LODHA.NS,LODHA,Macrotech Developers Limited
AUROPHARMA,AUROPHARMA.NS,AUROPHARMA,Aurobindo Pharma Limited
TORNTPOWER,TORNTPOWER.NS,TORNTPOWER,Torrent Power Limited
BHARTIHEXA,BHARTIHEXA.NS,BHARTIHEXA,BHARTI HEXACOM LIMITED
PAYTM,PAYTM.NS,PAYTM,One97 Communications Limited
PIIND,PIIND.NS,PIIND,PI Industries Limited
NYKAA,NYKAA.NS,NYKAA,FSN E-Commerce Ventures Limited
FEDERALBNK,FEDERALBNK.NS,FEDERALBNK,The Federal Bank Limited
SUNDARMFIN,SUNDARMFIN.NS,SUNDARMFIN,Sundaram Finance Limited
IREDA,IREDA.NS,IREDA,Indian Renewable Energy Development Agency Limited
BALKRISIND,BALKRISIND.NS,BALKRISIND,Balkrishna Industries Limited
BANDHANBNK,BANDHANBNK.NS,BANDHANBNK,Bandhan Bank Limited
HUDCO,HUDCO.NS,HUDCO,Housing and Urban Development Corporation Limited
BLUESTARCO,BLUESTARCO.NS,BLUESTARCO,Blue Star Limited
LALPATHLAB,LALPATHLAB.NS,LALPATHLAB,Dr. Lal PathLabs Limited
BSOFT,BSOFT.NS,BSOFT,Birlasoft Limited
CHENNPETRO,CHENNPETRO.NS,CHENNPETRO,Chennai Petroleum Corporation Limited
SONATSOFTW,SONATSOFTW.NS,SONATSOFTW,Sonata Software Limited
CHAMBLFERT,CHAMBLFERT.NS,CHAMBLFERT,Chambal Fertilisers and Chemicals Limited
WELSPUNLIV,WELSPUNLIV.NS,WELSPUNLIV,Welspun Living Limited
TRITURBINE,TRITURBINE.NS,TRITURBINE,Triveni Turbine Limited
ICICIGI,ICICIGI.NS,ICICIGI,ICICI Lombard General Insurance Company Limited
VEDL,VEDL.NS,VEDL,Vedanta Limited
IRFC,IRFC.NS,IRFC,Indian Railway Finance Corporation Limited
LICI,LICI.NS,LICI,Life Insurance Corporation of India
BHEL,BHEL.NS,BHEL,Bharat Heavy Electricals Limited
SAIL,SAIL.NS,SAIL,Steel Authority of India Limited
KPIL,KPIL.NS,KPIL,Kalpataru Projects International Limited
ZEEL,ZEEL.NS,ZEEL,Zee Entertainment Enterprises Limited
SWSOLAR,SWSOLAR.NS,SWSOLAR,Sterling and Wilson Renewable Energy Limited
DIVISLAB,DIVISLAB.NS,DIVISLAB,Divi's Laboratories Limited
JIOFIN,JIOFIN.NS,JIOFIN,Jio Financial Services Limited
ZOMATO,ZOMATO.NS,ZOMATO,Zomato Limited
AUBANK,AUBANK.NS,AUBANK,AU Small Finance Bank Limited
Zomato,Zomato.NS,Zomato,Zomato Limited
BOSCHLTD,BOSCHLTD.NS,BOSCHLTD,Bosch Limited
LTI Mindtree,LTIM.NS,LTIM,LTIMindtree Limited
CGPOWER,CGPOWER.NS,CGPOWER,CG Power and Industrial Solutions Limited
MANKIND,MANKIND.NS,MANKIND,Mankind Pharma Limited
YESBANK,YESBANK.NS,YESBANK,Yes Bank Limited
PAGEIND,PAGEIND.NS,PAGEIND,Page Industries Limited
SBICARD,SBICARD.NS,SBICARD,SBI Cards and Payment Services Limited
TIINDIA,TIINDIA.NS,TIINDIA,Tube Investments of India Limited
GODIGIT,GODIGIT.NS,GODIGIT,GO DIGIT GENERAL INS LTD
ASTERDM,ASTERDM.NS,ASTERDM,Aster DM Healthcare Limited
RBLBANK,RBLBANK.NS,RBLBANK,RBL Bank Limited
SHREECEM,SHREECEM.NS,SHREECEM,Shree Cement Limited
GODREJCP,GODREJCP.NS,GODREJCP,Godrej Consumer Products Limited
TVSMOTOR,TVSMOTOR.NS,TVSMOTOR,TVS Motor Company Limited
TATACHEM,TATACHEM.NS,TATACHEM,Tata Chemicals Limited
KPITTECH,KPITTECH.NS,KPITTECH,KPIT Technologies Limited
INDHOTEL,INDHOTEL.NS,INDHOTEL,The Indian Hotels Company Limited
TATACOMM,TATACOMM.NS,TATACOMM,Tata Communications Limited
NLCINDIA,NLCINDIA.NS,NLCINDIA,NLC India Limited
INDIANB,INDIANB.NS,INDIANB,Indian Bank
ASHOKLEY,ASHOKLEY.NS,ASHOKLEY,Ashok Leyland Limited
EXIDEIND,EXIDEIND.NS,EXIDEIND,Exide Industries Limited
GMRINFRA,GMRINFRA.NS,GMRINFRA,GMR Airports Limited
HBLPOWER,HBLPOWER.NS,HBLPOWER,HBL Power Systems Limited
RAMCOCEM,RAMCOCEM.NS,RAMCOCEM,The Ramco Cements Limited
APARINDS,APARINDS.NS,APARINDS,APAR Industries Limited
TEJASNET,TEJASNET.NS,TEJASNET,Tejas Networks Limited
AEGISLOG,AEGISLOG.NS,AEGISLOG,Aegis Logistics Limited
INOXWIND,INOXWIND.NS,INOXWIND,Inox Wind Limited
AARTIIND,AARTIIND.NS,AARTIIND,Aarti Industries Limited
TATAPOWER,TATAPOWER.NS,TATAPOWER,The Tata Power Company Limited
JSWENERGY,JSWENERGY.NS,JSWENERGY,JSW Energy Limited
UNIONBANK,UNIONBANK.NS,UNIONBANK,Union Bank of India
AMBUJACEM,AMBUJACEM.NS,AMBUJACEM,Ambuja Cements Limited
APLAPOLLO,APLAPOLLO.NS,APLAPOLLO,APL Apollo Tubes Limited
SOLARINDS,SOLARINDS.NS,SOLARINDS,Solar Industries India Limited
TATAELXSI,TATAELXSI.NS,TATAELXSI,Tata Elxsi Limited
MAXHEALTH,MAXHEALTH.NS,MAXHEALTH,Max Healthcare Institute Limited
ABCAPITAL,ABCAPITAL.NS,ABCAPITAL,Aditya Birla Capital Limited
